file_name,source_path,file_size_mb,matched_by,matched_keyword
QCDT-GYYHPC 1134-2022 机组快速门及液压系统检修规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1134-2022 机组快速门及液压系统检修规程.pdf,0.430,pdf_content,电磁阀
QCDT-GYYHPC 1134-2022.ZY01 机组快速闸门系统机械检修作业指导书.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电作业指导书/其他/QCDT-GYYHPC 1134-2022.ZY01 机组快速闸门系统机械检修作业指导书.pdf,0.393,pdf_content,电磁阀
QCDT-GYYHPC 1134-2022.ZY02 机组快速闸门液压启闭机检修作业指导书.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电作业指导书/其他/QCDT-GYYHPC 1134-2022.ZY02 机组快速闸门液压启闭机检修作业指导书.pdf,0.396,pdf_content,电磁阀
QCDT-GYYHPC 1135-2022.ZY01 左冲沙底孔系统检修维护作业指导书.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电作业指导书/其他/QCDT-GYYHPC 1135-2022.ZY01 左冲沙底孔系统检修维护作业指导书.pdf,0.448,pdf_content,电磁阀
QCDT-GYYHPC 1145-2022 消防水系统设备检修规程.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1145-2022 消防水系统设备检修规程.docx,0.156,docx_content,仪表+控制
QCDT-GYYHPC 1145-2022 消防水系统设备检修规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1145-2022 消防水系统设备检修规程.pdf,0.547,pdf_content,仪表+控制
QCDT-GYYHPC 1146-2022 通风空调软水处理系统检修维护规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1146-2022 通风空调软水处理系统检修维护规程.pdf,0.426,pdf_content,仪表+控制
QCDT-GYYHPC 1146-2022.ZY01 通风空调软水处理设备检修作业指导书.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电作业指导书/其他/QCDT-GYYHPC 1146-2022.ZY01 通风空调软水处理设备检修作业指导书.pdf,0.402,pdf_content,仪表+控制
QCDT-GYYHPC 1149-2022 城市取水口供水设备检修规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1149-2022 城市取水口供水设备检修规程.pdf,0.434,pdf_content,流量计+核
QCDT-GYYHPC 1150-2022 厂房及大坝电梯运行维护规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电检修规程/QCDT-GYYHPC 1150-2022 厂房及大坝电梯运行维护规程.pdf,0.505,pdf_content,仪表+控制
